year,average_kenyan_coffee_price_usd,average_foreign_coffee_price_usd,current_total_factor_productivity,germany_import_coffee_price_usd,belgium_import_coffee_price_usd,united_states_import_coffee_price_usd,south_korea_import_coffee_price_usd,annual_coffee_production,annual_exportable_coffee,annual_coffee_exports,rashid_moledina_exports,kenya_cooperative_coffee_exporters_exports,dormans_exports,mwangi_coffee_exporters_exports,sannex_coffee_exports,africoff_trading_exports,diamond_coffee_company_exports,rockbern_coffee_group_exports,real_exchange_rate_percent,nominal_exchange_rate_percent,average_agricultural_price,total_annual_imports,total_annual_exports,real_gdp_growth_percent,gross_capital_formation_percent,population_growth_rate_percent,real_interest_rate_percent,natural_resource_endowment
2001,69.400000000000006,37.049999999999997,0.51628106832504272,71.146945378759995,76.566834106529996,77.745437031029994,86.978999998500001,991,941,1096,405.52,120.56,98.64,65.759999999999991,54.800000000000004,43.84,16.439999999999998,10.96,147.16020871794873,147.22914979757087,62.88114355586,33.01525966432763,122.2209615,3.7799064979534336,18.790340524258959,2.72804871234742,17.812500968169118,0.16125612230031608
2002,67.67,30.91,0.50352847576141357,62.88114355586,71.146945378759995,76.566834106529996,84.926911444059996,945,895,736,272.32,80.959999999999994,66.239999999999995,44.16,36.800000000000004,29.44,11.04,7.36,172.40227811657502,168.73123717243612,66.92384067511,30.274699649305131,136.7499665,0.54685953017559541,15.138215889346156,2.7123966975801301,17.358140644542736,0.15530895331558076
2003,41.07,42.82,0.43618914484977722,66.92384067511,62.88114355586,71.146945378759995,85.108790199040001,673,623,920,340.4,101.2,82.8,55.199999999999996,46,36.800000000000004,13.799999999999999,9.2000000000000011,72.832177419040903,5.8880108127043433,70.818206809350002,30.045450590308025,144.20507950000001,2.932475545709039,16.482149389193328,2.7095852038488202,9.7705109271181296,0.15239676037537342
2004,71.010000000000005,56.33,0.42510241270065308,70.818206809350002,66.92384067511,62.88114355586,85.286614125989999,736,686,754,278.98,82.94,67.86,45.239999999999995,37.700000000000003,30.16,11.309999999999999,7.54,99.807153192256436,97.500902609621875,70.080805805180006,32.866744773131586,144.81287,5.1042997762973812,16.96249555648502,2.7207792207173598,5.0452575966548663,0.15112740816552481
2005,70.079944704101123,87.09,0.4394429624080658,70.080805805180006,70.818206809350002,66.92384067511,83.225566480159998,660,610,673,249.01,74.03,60.57,40.379999999999995,33.65,26.92,10.094999999999999,6.73,60.797196147937683,58.232338206662924,73.237087112919994,35.969835949778385,163.25418830000001,5.9066660798005728,17.649684790478375,2.7392461487176298,7.6099875458816992,0.14686266583079938
2006,76.904890870687623,87.02,0.38461819291114807,73.237087112919994,70.080805805180006,70.818206809350002,79.483951761010005,826,776,597,220.89,65.67,53.73,35.82,29.85,23.88,8.9550000000000001,5.97,63.719913223789241,61.330103887449411,82.823877491819999,32.251545481544177,155.69822400000001,6.4724943001548354,18.633585404403018,2.7579174305164602,-8.0098669713636408,0.14380402484987712
2007,72.209091762497067,98.3,0.39184889197349548,82.823877491819999,73.237087112919994,70.080805805180006,77.745437031029994,652,602,817,302.29000000000002,89.87,73.53,49.019999999999996,40.85,32.68,12.254999999999999,8.17,49.450106902859787,46.039723562711124,85.169691910089995,31.975797511235974,172.9223418,6.8507297699878364,20.456978388908539,2.7685492262963298,4.8190907881851031,0.13933877127864067
2008,71.608141281389351,109.26,0.37692663073539734,85.169691910089995,82.823877491819999,73.237087112919994,76.566834106529996,541,491,608,224.96,66.88,54.72,36.479999999999997,30.400000000000002,24.32,9.1199999999999992,6.08,45.33695839818418,50.931241331980374,87.53632465151,34.904541094086404,183.6165767,0.23228274481297717,19.612711422769827,2.7672563355380002,-0.9849969722943327,0.13524929699074142
2009,70.624259563482752,100.8,0.35447219014167786,87.53632465151,85.169691910089995,82.823877491819999,71.146945378759995,630,580,525,194.25,57.75,47.25,31.5,26.25,21,7.875,5.25,54.195720181169932,53.122334921659345,85.822744303150003,27.170246321179174,164.54881069999999,3.3069398163108872,19.019172424825424,2.7508537992605002,-10.096003565548351,0.13625853486300962
2010,139.97114996479701,134,0.3437657356262207,85.822744303150003,87.53632465151,85.169691910089995,62.88114355586,641,591,531,196.47,58.410000000000004,47.79,31.86,26.55,21.240000000000002,7.9649999999999999,5.3100000000000005,82.76384596582426,84.348286266099677,100,30.269927702404082,178.5256741,8.0584736029090607,21.263998799209478,2.7225900011838999,12.526958492458025,0.13247299748698724
2011,187.11361886881014,224.26,0.33332529664039612,100,85.822744303150003,87.53632465151,66.92384067511,757,707,609,225.32999999999998,66.989999999999995,54.809999999999995,36.54,30.450000000000003,24.36,9.1349999999999998,6.09,74.100171960259502,70.979022372111288,109.94875300643,36.852728903734615,173.3831145,5.1211061197056011,21.885812275946702,2.6937436464668898,4.5261858322689834,0.13603800657973619
2012,110.40159117578034,152.29,0.34835594892501831,109.94875300643,100,85.822744303150003,70.818206809350002,875,825,803,297.11,88.33,72.27,48.18,40.150000000000006,32.119999999999997,12.045,8.0299999999999994,61.279155134721904,62.366858551791864,91.981029580669997,31.758744300364722,187.6188435,4.5686796144498203,22.193362925882347,2.6628078044088301,9.3135113445828832,0.13493176089195474
2013,124.5756371743722,102.14,0.33464601635932922,91.981029580669997,109.94875300643,100,70.080805805180006,843,788,815,301.55,89.65,73.349999999999994,48.9,40.75,32.6,12.225,8.15,105.04026350149508,105.2684868271007,86.978999998500001,29.672461959564867,191.0018948,3.7978483925754034,22.404968103986164,2.6186044777613802,9.293946359699536,0.12948634463799727
2014,124.5756371743722,134.69999999999999,0.32686504721641541,86.978999998500001,91.981029580669997,109.94875300643,73.237087112919994,770,715,799,295.63,87.89,71.91,47.94,39.950000000000003,31.96,11.984999999999999,7.99,81.313731093187101,81.311729921089878,84.926911444059996,29.697684896403715,201.14001110000001,5.020111002324839,24.950718998773283,2.5594031449433898,8.2490789921732421,0.12654951425387181
2015,106.70364937808026,104.49,0.33354976773262024,84.926911444059996,86.978999998500001,91.981029580669997,82.823877491819999,799,739,712,263.44,78.320000000000007,64.08,42.72,35.6,28.48,10.68,7.12,100.25839085305739,103.65030540602113,85.108790199040001,25.198650788451495,195.97405789999999,4.9677211275976703,22.103398202029336,2.4917675483783701,6.2688057827038435,0.12379542779943296
2016,112.39451067824453,107.83,0.3471578061580658,85.108790199040001,84.926911444059996,91.981029580669997,85.169691910089995,793,733,727,268.99,79.97,65.429999999999993,43.62,36.35,29.080000000000002,10.904999999999999,7.2700000000000005,105.80111232030234,102.33602020207779,85.286614125989999,21.615274772506528,198.1118736,4.2135170681474392,19.348435830933212,2.4208209378037302,10.118128713498676,0.12109907010529564
2017,120.10387272461915,110.48,0.35923540592193604,85.286614125989999,85.108790199040001,86.978999998500001,87.53632465151,790,725,710,262.7,78.099999999999994,63.9,42.6,35.5,28.400000000000002,10.65,7.1000000000000005,112.41900371776396,112.41800758918235,83.225566480159998,23.258397934034907,183.06049909999999,3.837958173647209,20.663494902277343,2.3564774490697999,5.656747615859067,0.11849276306471071
2018,119.37320535914152,90.78,0.36265131831169128,83.225566480159998,85.286614125989999,84.926911444059996,85.822744303150003,930,860,753,278.61,82.83,67.77,45.18,37.65,30.12,11.295,7.53,133.20878609999679,133.19356654359382,79.483951761010005,21.87277784338352,192.89824139999999,5.6479464070921921,19.3759862497025,2.30574364203494,8.4879604749469095,0.11610843599054028
2019,125,138.96,0.35414230823516846,79.483951761010005,83.225566480159998,85.108790199040001,100,725,665,750,277.5,82.5,67.5,45,37.5,30,11.25,7.5,91.745195010569589,91.74402705814623,77.745437031029994,20.331470061665055,193.28119269999999,5.1141588576780066,19.34183437397774,2.2727463790793099,7.8311007476740624,0.11383385556250117
2020,136,180.55,0.34005632996559143,77.745437031029994,79.483951761010005,85.286614125989999,109.94875300643,750,690,775,286.75,85.25,69.75,46.5,38.75,31,11.625,7.75,80.198947659927995,80.198947659927995,76.566834106529996,17.594366535231224,202.29870500000001,-0.25015570496837825,19.683101042792508,2.25187943057208,6.7292271660868277,0.1115689713610145
